Product Title,Variant Title,Purity,Gold Weight,Diamond Weight,Price,Variant ID,Image 1,Image 2,LocalImage
The Protective Gaze Diamond Mangalsutra Bracelet,14 KT / Yellow Gold,14K,2.33,0.512,38351.0,50962687000864,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68258_Y1_88af434e-641f-478a-8b79-468f3be4ad25.jpg?v=1764837759,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68258_Y2_5e73d2ee-e5a6-42f2-a549-9871c39a37ac.jpg?v=1764837759,MJ-LB68258_Y1_88af434e-641f-478a-8b79-468f3be4ad25.jpg
The Protective Gaze Diamond Mangalsutra Bracelet,18 KT / Yellow Gold,18K,2.79,0.512,50237.0,50962687099168,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68258_Y1_88af434e-641f-478a-8b79-468f3be4ad25.jpg?v=1764837759,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/MJ-LB68258_Y2_5e73d2ee-e5a6-42f2-a549-9871c39a37ac.jpg?v=1764837759,MJ-LB68258_Y1_88af434e-641f-478a-8b79-468f3be4ad25.jpg
Diamond Link Tennis Bracelet,9 KT / Yellow Gold,9K,93.97,9.347,938560.0,50942008262944,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR938112.jpg?v=1763478142,,SIL-MBR938112.jpg
Diamond Link Tennis Bracelet,14 KT / Yellow Gold,14K,103.26,9.347,1343712.0,50942008361248,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR938112.jpg?v=1763478142,,SIL-MBR938112.jpg
Diamond Link Tennis Bracelet,18 KT / Yellow Gold,18K,123.91,9.347,1873664.0,50942008459552,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR938112.jpg?v=1763478142,,SIL-MBR938112.jpg
Iced Out Diamond Tennis Bracelet,9 KT / White Gold,9K,75.71,7.178,746778.0,50942007935264,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR938111.jpg?v=1763478154,,SIL-MBR938111.jpg
Iced Out Diamond Tennis Bracelet,14 KT / White Gold,14K,83.2,7.178,1073251.0,50942008033568,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR938111.jpg?v=1763478154,,SIL-MBR938111.jpg
Iced Out Diamond Tennis Bracelet,18 KT / White Gold,18K,99.84,7.178,1500271.0,50942008131872,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR938111.jpg?v=1763478154,,SIL-MBR938111.jpg
Braided Wrap Diamond Tennis Bracelet,9 KT / Rose Gold,9K,37.77,9.645,534314.0,50942007574816,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR922912.jpg?v=1763478175,,SIL-MBR922912.jpg
Braided Wrap Diamond Tennis Bracelet,14 KT / Rose Gold,14K,41.5,9.645,697122.0,50942007673120,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR922912.jpg?v=1763478175,,SIL-MBR922912.jpg
Braided Wrap Diamond Tennis Bracelet,18 KT / Rose Gold,18K,49.8,9.645,910118.0,50942007771424,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR922912.jpg?v=1763478175,,SIL-MBR922912.jpg
High End Diamond Tennis Bracelet,9 KT / White Gold,9K,32.31,8.293,458201.0,50942007279904,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/High-End_Silicon_Diamond_Bracelet.jpg?v=1763531606,,High-End_Silicon_Diamond_Bracelet.jpg
High End Diamond Tennis Bracelet,14 KT / White Gold,14K,35.5,8.293,597466.0,50942007378208,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/High-End_Silicon_Diamond_Bracelet.jpg?v=1763531606,,High-End_Silicon_Diamond_Bracelet.jpg
