Category,Product URL,Purity,Gold Weight,Diamond Weight,Image Link,
ring,https://geer.in/products/solvione-square-emerald-cut-solitaire-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.47 g,0.5 ct,https://geer.in/cdn/shop/files/AIENR-132_R1.jpg?v=1751623867,AIENR-132_R1.jpg
ring,https://geer.in/products/aurelius-bypass-round-cut-side-stone-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.04 g,0.15 ct,https://geer.in/cdn/shop/files/AIENR-351RD_R1.jpg?v=1751624301,AIENR-351RD_R1.jpg
ring,https://geer.in/products/celestia-pear-cluster-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.47 g,2.98 ct,https://geer.in/cdn/shop/files/AIENR-467_W1_9b5a9ef7-9b3a-4c63-9605-da6dec4fa04f.jpg?v=1751001286,AIENR-467_W1_9b5a9ef7-9b3a-4c63-9605-da6dec4fa04f.jpg
ring,https://geer.in/products/whispers-of-spring-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.04 g,1.01 ct,https://geer.in/cdn/shop/files/GJLR-228_R1.jpg?v=1751616768,GJLR-228_R1.jpg
ring,https://geer.in/products/butterfly-bloom-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.55 g,1.04 ct,https://geer.in/cdn/shop/files/GJLR-219_R1.jpg?v=1750332916,GJLR-219_R1.jpg
ring,https://geer.in/products/aurora-marquise-accent-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,0.55 ct,https://geer.in/cdn/shop/files/GJLR-216_R1.jpg?v=1750333007,GJLR-216_R1.jpg
ring,https://geer.in/products/celestia-marquise-cluster-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.42 g,0.69 ct,https://geer.in/cdn/shop/files/GJLR-222_R1.jpg?v=1750333161,GJLR-222_R1.jpg
ring,https://geer.in/products/regalia-princess-cut-diamond-eternity-band/from_collection=lab-grown-diamonds-rings,14K,2.47 g,0.99 ct,https://geer.in/cdn/shop/files/GJLR-208_R1.jpg?v=1750333252,GJLR-208_R1.jpg
ring,https://geer.in/products/celestia-pear-cluster-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.28 g,1.12 ct,https://geer.in/cdn/shop/files/GJLR-224_R1.jpg?v=1750333437,GJLR-224_R1.jpg
ring,https://geer.in/products/amoura-heart-cut-diamond-halo-ring/from_collection=lab-grown-diamonds-rings,14K,2.25 g,1.31 ct,https://geer.in/cdn/shop/files/GJLR-198_R1.jpg?v=1750333482,GJLR-198_R1.jpg
